0,1,2
PONGGOL SEVENTEENTH AVENUE,PUNGGOL SECONDARY SCHOOL,1.1210076268339615 km
JALAN TELITI,YUYING SECONDARY SCHOOL,0.38646498129074924 km
JALAN LAPANG,PING YI SECONDARY SCHOOL,0.5804762783609475 km
MAYFIELD AVENUE,CHUNG CHENG HIGH SCHOOL (MAIN),0.7867719528044875 km
PAYA LEBAR STREET,BARTLEY SECONDARY SCHOOL,0.23288257157046974 km
CHIAP GUAN AVENUE,PEICAI SECONDARY SCHOOL,0.6085455947880353 km
DUKU ROAD,TANJONG KATONG SECONDARY SCHOOL,0.5938181456895092 km
JALAN TANAH PUTEH,TEMASEK JUNIOR COLLEGE,0.6795079527953223 km
CHARLTON ROAD,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),0.6831137845249823 km
LANGE ROAD,PEICAI SECONDARY SCHOOL,0.6299421583289035 km
SIMON PLACE,YUYING SECONDARY SCHOOL,0.9243221584233831 km
HOLLAND GROVE WALK,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",0.7810109435394524 km
CHU LIN ROAD,HILLGROVE SECONDARY SCHOOL,0.9664712465689226 km
LORONG LEW LIAN,ST. GABRIEL'S SECONDARY SCHOOL,0.3378526557212168 km
PENAGA PLACE,CANBERRA SECONDARY SCHOOL,2.694135272334486 km
CARPMAEL ROAD,TANJONG KATONG SECONDARY SCHOOL,0.735146611905648 km
QUEEN'S ROAD,ST. MARGARET'S SECONDARY SCHOOL,0.4688283089568684 km
CRANE ROAD,TANJONG KATONG SECONDARY SCHOOL,0.5451051213443268 km
BEDOK WALK,BEDOK SOUTH SECONDARY SCHOOL,0.5029028485043502 km
TEMBELING ROAD,TANJONG KATONG SECONDARY SCHOOL,0.708194728251183 km
BUNGA RAMPAI PLACE,BARTLEY SECONDARY SCHOOL,0.09462984493889995 km
UPPER CHANGI ROAD EAST,EAST SPRING SECONDARY SCHOOL,0.6206581972784296 km
LORONG GAMBIR,ST. GABRIEL'S SECONDARY SCHOOL,0.28594489256415134 km
SECOND AVENUE,NANYANG GIRLS' HIGH SCHOOL,0.37177005708563693 km
